created_time,message,id,object_link.connections.comments.message,object_link.connections.likes
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,Vanny Moraes vc está coberta de razão.,Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,"Por isso que opto por não ter filhos! Filhos podem até ser uma bênção. Mas se acontece algo com meu filho, São duas vidas que se iria, a minha e a dele.",Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,Vanny Moraes #tmj,Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,"Vanny Moraes , concordo com você, eu também penso assim.",Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,Tb queria poder fazer isso...se eu pudesse nem deixava meu filho sair de casa😭😭,Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,Junior Rodriguês Deus o livre perder o meu filho..mas nao quero mais filho por causa disso ese tivesse pensado direito nao teria nenhum..violencia ta demais,Table
2019-03-13T14:44:43+0000,"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2166359013459197_2166374353457663,Vanny Moraes Verdade amiga. Tudo isso é revoltante. Mais é preciso acontecer essas coisas como a própria Bíblia nos revela. 😢que Jesus volte e nos liberte dessas maldades que assolam o Brasil e o mundo.,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Celina Rodrigues vc se lembra quando tentaram colocar a polícia na escola vcs ficaram de mimimi cala tua boca hipócrita eram adolescentes defendidos pela esquerda as armas eram ilegais 😤,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Primeiro que eles nem tinham idade pra comprar arma. Isso não tem nada haver quem quer cometer crime vai cometer de qualquer jeito. E se fosse um colégio militar duvido eles entrarem.,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Alessônia Pontes As pessoas precisan saber que arma só tem uma função: matar. Mais armas, mais mortes !!!",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Kkkk acho e graça o povo querer acha um cristo pra culpa do Brasil esta assim gente acorda ninguém ainda comprou arma na verdade e mas facil matar um pai de família que serve a polícia e roubar uma arma que comprar acorda povooooooooooo,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Arma não mata.. o que mata são as pessoas 🤷🏻‍♂️,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Muito vago esse pensamento de que amar só tem a função de matar, sim armas matam porém temos que ressaltar que assim como serve pro agressor também serve para quem pode se defender e defender a outros, se tivesse uma pessoa armada fazendo a segurança da escola isso poderia ter sido evitado.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"O massacre de realengo no rio matou bem mais em 2011, e o estatuto do desarmamento não ajudou.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Celina Rodrigues finalmente um comentário coerente e realista 👏👏👏👏,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Olecram Arumik disse tudo 👏👏,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,até porque esses assassinos gastaram com armas legalizadas mesmo....,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Só quero ver o que o nosso ""digníssimo"" Presidente tem a falar sobre isso!",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Esquerda tentando capitalizar em cima de tragédia? Nenhuma novidade.,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Santa burrice,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,A arma não precisa ser legalizada pra matar alguém....,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Já está liberando porte e a POSSE de arma de fogo pra crianças? .,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"A posse de arma foi pra adultos esses se quiserem ter uma em casa ,e de forma ilegal, e mas facil conseguir uma. Isso e responsabilidades dos pais até por que eles não estavam só com arma de fogo tinham outros armamento. Se isso não tiver haver com mas um jogo de videogame eu duvido muito",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Posse de arma pra criança?
Superou né filha.
Passa vergonha não, apaga",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Agora vao culpar uma atrocidade desta a dois Doentes Mentais. Por causa do Estatuto, nao podemos esquecer, que Pistolas e Revólveres, nao matam sozinhas, o que a transformam em Armas, sao as pessoas que as Empunham, pois se formos usar ao pé da Letra o Automóvel mata muito mais no Brasil que Revólveres e nem por isto sao considerados Armas.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Celina Rodrigues quando há dificuldade de interpretar o que dizemos não devemos nos dar o trabalho de explicar inumeras vezes , deixe as pessoas lerem qtas vzs for necessário pra entender o que você quer dizer ! Até pq algumas pessoas preferem deturpar em vez de compreender !",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Mas que atrelamento ridículo...
Politizando morte de crianças...
A arma que pode matar tem mais barato e de mais fácil acesso no mercado negro... Não precisa ser tão ignorante útil ou estúpido a ponto de saber associar os crimes ao porte de armas...",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Muito parecido com o massacre de Columbine,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Henoiza Guimarães vamos orar pelas vítimas , pelas famílias, por todos sem exceção, principalmente pelos debochados de plantão !",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Celina Rodrigues nada porque ele não mandou garotos psicopatas matarem ninguém, porque não foi só com arma , foi com arco e flecha também E aí a cupa e dos índios agora , comentário sem noção",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,qualquer um consegue uma arma hoje em dia né. GÊNIO,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Celina Rodrigues Se é pra ti fala insanidade , fica calada ! Os únicos responsáveis por essas tragédias no país, foram vcs que deram asas pra esses comunistas energúmenos fazerem isso com nosso país, "" Tolos !"" Criaram não só inseguranças, mas divisões de classes.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Tanto faz legalizar ou não eles sempre conseguem quando querem armas ..... é muito triste tudo isso oremos por todos,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Isso nao tem nada haver con legalização de armas,ou por acaso acham que eles foram comprar essas armas num loja legalizada",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Só li 💩🤮,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Engraçado que em 2011 no ataque a escola de Realengo o Brasil tava sob lei do desarmamento, será pq não deu certo?",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Bem vindos ao modelo americano de viver, onde armas são liberadas e a barbárie também,faz arminha seu presidente 😎👉 Bostonaro",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Se houvesse algum policial armado lá o desfecho seria outro, em Realengo só não morreram mais crianças por causa do policial que interviu e matou o bandido.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Tnc idiota,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"O modelo americano onde as armas são liberadas, com uma população de quase o dobro da nossa, e com o número de homicídios abaixo dos 20 mil. Aqui no Brasil com a política do desarmamento temos 3 vezes mais homicídios, se informe, colega.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Se tivesse um adulto armado dentro da escola.
Essa tragédia não teria acontecido.!!",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Penso que se tivesse algum segurança armado a reposta seria rápida mas em fim cadê qual pensa como quiser,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Celina Rodrigues deixa de ser burra esquerdista,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Lucio Cid mas lá nos Estados Unidos sempre acontece isso.,Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,"Muitos dizendo ""mas a responsabilidade é dos pais que têm o porte"", sim é. Mas vai lá falar isso pros pais dos jovens mortos hoje. Vai lá e fala dos Estados Unidos. Compara com o Brasil (que ainda é país atrasado, sobretudo em educação). Vai lá e confessa que botar uma arma letal nas mãos do ""responsável maior de idade"" foi o suficiente pra evitar que os filhos deles morressem com um tiro no peito ou no meio da testa. Vai lá, vai.",Table
2019-03-13T15:22:02+0000,"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",2166359013459197_2166421923452906,Souza Gomes 👏👏👏👏👏👏,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Verdade,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Nada a ver.,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Lee Eun-Hye então e muita maconha na mente por que um ser humano fazer isso,o eles são anjos.",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Criança trabalhando e crime , criança matando e roubando e vítima!!",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Vdd.,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Elizeu Paixao para de defecar pelos dedos . Não é o vídeo game que faz uma pessoa ter esse distúrbio. E “demenor” trabalhar no Brasil não é crime, está aí o programa “jovem aprendiz” se informe melhor.",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Elizeu Paixao para de defecar pelos dedos . Não é o vídeo game que faz uma pessoa ter esse distúrbio. E “demenor” trabalhar no Brasil não é crime, está aí o programa “jovem aprendiz” se informe melhor.",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Ficam jogando, pq os pais deixam. O que falta é a família educar, ter o controle da situação, as crianças de hoje mandam nos pais, não tem regras e nem limites, aí da nisso. Onde que eu deixaria meu filho ficar o dia jogando videogame e ainda por cima jogos de violência, onde tem armas.",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Ah pronto, a culpa agora é do vídeo game? Vcs culpam o GTA SanAndreas por terem prostitutas no mundo tbm?",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,"Então já era pra eu ter virado um psicopata nato, pq eu jogava e ainda jogo não é brincadeira.",Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Junior Rodriguês é kd pensamento que eu vou te dizer em...🤣🤣🤣,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Elizeu Paixao não comenta sobre o que você não entende cara.,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Elizeu Paixao vdd também acho que tem haver com isso estavam usando até arco e flecha.,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Acho a pura verdade,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Elna Gusmão everdade,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Tem nada haver com jogo !,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Parem de ta tirando conclusão precipitadas,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,O diretor da escola disse que supostamente um dos envolvidos sofria bullying!,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Ninguém sabe o pensamento de cada ser humano !,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Meu Deus do céu... Já tem estudos comprovados que jogos não tem nada a ver com casos desse tipo,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Que comentário idiota mano! 😂 Apaga que dá tempo!,Table
2019-03-13T14:41:12+0000,Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2166359013459197_2166370420124723,Marcos Sampaio na Record no cidade alerta fala que a polícia apreendeu um vídeo game na casa deles.,Table
