created_time,message,id,object_link
2019-03-14T14:31:47+0000,Lembrem-se que o estatuto do desarmamento está em pleno VIGOR! Também não evitou as quase 65000 mortes.,378810646005734_378823769337755,
2019-03-14T14:08:47+0000,REALENGO 7 DE ABRIL DE 2011 . LEMBRANDO QUE O BRASIL ERA GOVERNADO PELO PT. 🤣,378810646005734_378814189338713,
2019-03-14T14:43:01+0000,"""Segue abaixo as coincidências 

2003 - Jair defende milicias
2007 - Flávio quer legalizar milicias
2011- A juíza Patricia Acioli é assassinada por milicianos, Flávio a difama.
2015 - De 70 deputados da ALERJ, Flávio é o único a votar contra CPI q investigara policiais.
2018 - Já em campanha, Jair defende milicias (de novo)
2018- Flávio faz campanha com família ligada ao jogo do bicho (muitos bicheiros viraram milicianos)
2018- Marielle é assassinada (silêncio dos Bolsonaros)
2018 - Dois PM's são presos, acusados de serem milicianos, os dois são irmãos da tesoureira e assessora do PSL 
2018 - Dois candidatos do partido do Bolsonaro quebram uma placa de homenagem a Marielle e Flávio os defende.
2018 - descobrem q uma milícia de São Gonçalo teria atuado em favor de um dos candidatos de Jair Bolsonaro à ALERJ, o coronel Fernando Salema (PSL)
2019 - COAF revela que Fabrício, ex-assessor de Flávio, fez movimentação atípica de R$ 1,233 milhão entre 2016 e janeiro de 2017. O ex PM já cometeu pelo menos 10 homicíd...",378810646005734_378828806003918,
2019-03-14T14:42:53+0000,"""Segue abaixo as coincidências 

2003 - Jair defende milicias
2007 - Flávio quer legalizar milicias
2011- A juíza Patricia Acioli é assassinada por milicianos, Flávio a difama.
2015 - De 70 deputados da ALERJ, Flávio é o único a votar contra CPI q investigara policiais.
2018 - Já em campanha, Jair defende milicias (de novo)
2018- Flávio faz campanha com família ligada ao jogo do bicho (muitos bicheiros viraram milicianos)
2018- Marielle é assassinada (silêncio dos Bolsonaros)
2018 - Dois PM's são presos, acusados de serem milicianos, os dois são irmãos da tesoureira e assessora do PSL 
2018 - Dois candidatos do partido do Bolsonaro quebram uma placa de homenagem a Marielle e Flávio os defende.
2018 - descobrem q uma milícia de São Gonçalo teria atuado em favor de um dos candidatos de Jair Bolsonaro à ALERJ, o coronel Fernando Salema (PSL)
2019 - COAF revela que Fabrício, ex-assessor de Flávio, fez movimentação atípica de R$ 1,233 milhão entre 2016 e janeiro de 2017. O ex PM já cometeu pelo menos 10 homicíd...",378810646005734_378828746003924,
2019-03-14T14:06:06+0000,O que aconteceu em Suzano não foi culpa do governo meu povo,378810646005734_378812729338859,
2019-03-14T14:15:40+0000,FANTÁSTICO ESSE COMENTARIO......,378810646005734_378817826005016,
2019-03-14T14:04:58+0000,Precisamos aprender a votar pessoal.,378810646005734_378812212672244,
2019-03-14T14:57:44+0000,O grande problema é a ideologia como diz Carlos Matos... você acaba fechando os olhos para coisas pelo simples fato de não ser de seu interesse. No caso o Plínio não ter visto a reportagem sobre os casos comissionados.,378810646005734_378834076003391,
2019-03-14T14:52:07+0000,Shalom ao Carlos Matos Dedé do Shalom do mundubim,378810646005734_378832122670253,
2019-03-14T14:05:38+0000,"Realengo 7 de Abril de 2011, 13 mortos, bandido. Ex-aluno do colégio armado com um 38 e um 32 e munição....só relembrando porque tem gente de memória fraca😉",378810646005734_378812529338879,
2019-03-14T14:50:59+0000,"Bom dia,pergunta ao Plínio se a preocupação dele claro que a de todos,com a resolução de quem mandou matar essa vereadora e a mesma em relação de quem mandou matar o bolssonaro e a pior de todas,desvendar o autor de quem colocou na cabeça daquele doido que se proclamou presidente do Brasil,o Plínio também vai se preocupar?",378810646005734_378831699336962,
2019-03-14T14:06:28+0000,"Com certeza a tragedia seria outra , talvez muito maior se professores portassem armas, o momento não é para se fazer política , ou culpar esse ou aquele , o momento pede que nos portemos com respeito às famílias que perderam seus entes queridos , e violência não se acaba com mais violência , o mundo todo está repleto de histórias tristes como esta.sejemos então menos egoista e nos aproximemos mais do ser humano e racional que existe em todos nós . Políticos são feitos para o bem do povo e do país , se não há respeito e concordância mútua para um bem maior , nenhum lado se faz correto , nem esquerda e nem direita .",378810646005734_378812942672171,
2019-03-14T14:58:46+0000,Cargos comissionados *,378810646005734_378834402670025,
2019-03-14T14:37:44+0000,E dinheiro vai pra onde por Queiroz,378810646005734_378825986004200,
2019-03-14T14:12:27+0000,"O estatuto do desarmamento está em pleno vigor, entretanto, não evitou a tragédia!",378810646005734_378816069338525,
2019-03-14T14:06:31+0000,Isso não tem nada vem em aprender a votar,378810646005734_378812962672169,
2019-03-14T14:31:10+0000,As maiorias dos jovens não querem nada da vida tá no caráter de cada um,378810646005734_378823499337782,
2019-03-14T14:14:18+0000,Ou arma todos ou desarmam todos...por que o estatuto do desarmamento é bem parcial nao é mesmo.,378810646005734_378817176005081,
2019-03-14T14:09:18+0000,NÃO adianta falar em tragédia e não fazer nada pela educação,378810646005734_378814522672013,
2019-03-14T14:12:44+0000,Falhou a família,378810646005734_378816272671838,
2019-03-14T14:18:00+0000,"Esse negócio de flexibilização das armas é de uma insanidade bem típica do Presidente Jair Bolsona que pregou em toda campanha e ainda continua a pregar o uso do grito, a forma com forma de resolução as relações do cotidiano. arma foi feito para matar e pronto, não tem outra utilidade.",378810646005734_378818966004902,
2019-03-14T14:25:53+0000,"Estado de Direito impõe monopólio do uso da força ao Estado para promover segurança e justiça.....arma do cristão é o evangelho, do cidadão a Constituição e do bandido a violência. 
Menos Armas, menos letalidade.",378810646005734_378821716004627,
2019-03-14T14:09:23+0000,"Que vergonha! O rapaz tinha 17 anos e o que faltou foi educação dentro da família e escola. 16 anos de patria educadora deu nisso.
O Brasil precisa urgente de um novo rumo. Cães antidrogas, psicólogos, esportes, e cursos obrigatório para as famílias de : educação, saúde, como tratar com adolescentes, o perígo da Internet, como cuidar do emocional dos filhos. Aqui na Itália funciona muito bem.",378810646005734_378814576005341,
2019-03-14T14:12:57+0000,Armas são sempre perigosas e letais independente das maos que utilizam e com que finalidade,378810646005734_378816366005162,
2019-03-14T14:36:07+0000,Jogos educativos?? Meu Deus ......,378810646005734_378825412670924,
2019-03-14T14:07:17+0000,Bom dia!,378810646005734_378813366005462,
2019-03-14T14:06:34+0000,Bom dia !,378810646005734_378812982672167,
2019-03-14T14:20:27+0000,Eu pessoalmente Sou Contra o uso de armas às armas Só trás mais Violência!,378810646005734_378820012671464,
2019-03-14T14:15:42+0000,"Armas é pra quem sabe usar "" curso "" leigo é pra usar livros não armas "" acorda Brasil "" que presidente é esse ???",378810646005734_378817839338348,
2019-03-14T14:52:06+0000,A cultura do ódio que foi deciminada nas eleições já está em prática,378810646005734_378832109336921,
2019-03-14T15:09:23+0000,Se são as armas que fazem tanto mal então porque ligam pra polícia quando te fazem algum mal? Você sabe que eles vêm armados!,378810646005734_378838766002922,
2019-03-14T14:56:07+0000,Quem mandou matar o bolssonaro?,378810646005734_378833529336779,
2019-03-14T14:57:31+0000,"Parabéns ao Carlos Matos, realmente essa guerra entre esquerda e direita da nojo.",378810646005734_378834019336730,
2019-03-14T14:17:10+0000,Otário. Violência encentivou o PT e encentiva até hoje. É trlste ver isso. É claro que tu é PT.,378810646005734_378818539338278,
2019-03-14T15:04:19+0000,"O Rio é o lugar mais seguro do mundo, só a mariele morreu em um ano...

#nojodessamidiahipocrita",378810646005734_378836712669794,
2019-03-14T14:06:19+0000,"E vamos as manchetes

Tragédia de Suzano Bolsonaro é possivelmente o culpado 

Persiguicao e morte carro abalroado Bolsonaro tem lá sua parcela de culpa

Opss foi mal a rede esgoto já tinha falado isso!!",378810646005734_378812852672180,